Date,Description,Amount,Category
08/02/2026,TRADER JOES #482,-64.18,Groceries
08/03/2026,SPOTIFY USA,-11.99,Subscriptions
08/04/2026,MTA VENDING MACHINE,-33.00,Transport
08/06/2026,BLUE BOTTLE COFFEE,-6.25,Dining Out
08/07/2026,ACME PROPERTIES RENT,-1800.00,Rent & Housing
08/09/2026,AMAZON MARKETPLACE,-42.87,Shopping
08/11/2026,CON EDISON,-91.44,Utilities
08/12/2026,"JOE'S PIZZA, BROOKLYN",-28.50,Dining Out
08/14/2026,EMPLOYER PAYROLL,3000.00,
08/15/2026,WHOLE FOODS MARKET,-88.02,Groceries
08/17/2026,UBER TRIP,-19.40,Transport
08/19/2026,AMC THEATRES,-24.00,Fun
08/21/2026,CVS PHARMACY,-15.60,Shopping
08/23/2026,TRADER JOES #482,-71.15,Groceries
08/25/2026,NETFLIX.COM,-15.49,Subscriptions
